region,Longitude,Latitude
Fiji,163.8531646,-17.31630943
Tanzania,34.75298985,-6.257732429
Canada,-98.14238137,61.46907615
Kazakhstan,67.28461098,48.19166075
Uzbekistan,63.20363953,41.74860266
Papua New Guinea,145.3175746,-6.451644515
Indonesia,117.4234076,-2.221737937
Argentina,-65.17536077,-35.44682149
Chile,-71.52064395,-39.04701431
Somalia,45.72670077,4.752347757
Kenya,37.79155529,0.595966252
Sudan,29.86260401,15.990585
Chad,18.58132953,15.3288674
Haiti,-72.65801331,18.90070069
Russia,96.80331818,61.96166349
Bahamas,-77.9299708,25.51549173
Norway,15.46811996,69.15685631
Timor-Leste,125.9663003,-8.767760362
South Africa,25.04801388,-28.94703326
Lesotho,28.1701053,-29.62529049
Mexico,-102.5763495,23.9353719
Uruguay,-56.00327867,-32.78090437
Brazil,-53.05434004,-10.80677364
Peru,-74.39180582,-9.191562905
Colombia,-73.07773209,3.927213863
Panama,-80.10916484,8.530019389
Costa Rica,-84.1754231,9.965671127
Nicaragua,-85.0203185,12.84819043
Honduras,-86.58996384,14.82294708
El Salvador,-88.87290317,13.72609163
Guatemala,-90.36945836,15.69936061
Belize,-88.70342125,17.19708991
Venezuela,-66.16382728,7.162132268
Guyana,-58.97120311,4.790225375
Suriname,-55.9114563,4.120008032
France,-2.876696699,42.46070433
Ecuador,-78.38416675,-1.454771706
Puerto Rico,-66.47922228,18.23722457
Jamaica,-77.3242548,18.13763613
Cuba,-78.96068491,21.63175154
Zimbabwe,29.78854837,-18.90698795
Botswana,23.77308147,-22.09971138
Namibia,17.15616813,-22.09977693
Senegal,-14.50980279,14.35413999
Mali,-3.543294339,17.26777206
Mauritania,-10.32639693,20.20926721
Benin,2.337377553,9.647430781
Niger,9.3244271,17.34555281
Nigeria,7.995127754,9.548318418
Cameroon,12.61155155,5.663095288
Togo,0.996403944,8.439541955
Ghana,-1.236968556,7.928651813
Guinea,-11.06085374,10.44827288
Guinea-Bissau,-15.11062375,12.02270438
Liberia,-9.410836154,6.431619862
Sierra Leone,-11.79525743,8.530353726
Burkina Faso,-1.776537452,12.31165049
Gabon,11.68775117,-0.64704814
Zambia,27.72759192,-13.39506755
Malawi,34.19360533,-13.17283499
Mozambique,35.47261598,-17.23044898
Angola,17.47057255,-12.24586904
Burundi,29.9138923,-3.377391075
Israel,35.00385121,31.48491939
Lebanon,35.87098632,33.91182721
Madagascar,46.69117091,-19.35611408
Palestine,35.27331962,31.94113662
Gambia,-15.43187281,13.47533436
Tunisia,9.534716121,34.17293904
Algeria,2.598047792,28.18548128
Jordan,36.77945491,31.24549058
United Arab Emirates,54.20671476,23.86863365
Qatar,51.18350258,25.32185097
Kuwait,47.60009889,29.30726663
Iraq,43.75691096,33.03682096
Oman,56.09867282,20.61117437
Vanuatu,167.0737513,-15.54267706
Cambodia,104.8760853,12.68472863
Thailand,101.0061335,15.01697499
Laos,103.7502599,18.44497809
Myanmar,96.50584094,21.01699987
Vietnam,106.2858408,16.65793775
North Korea,127.1650159,40.14302034
South Korea,127.8213171,36.4275986
Mongolia,102.9464062,46.82368113
India,79.59370376,22.92500641
Bangladesh,90.26792828,23.8394618
Bhutan,90.47242481,27.42796865
Nepal,84.01317368,28.23944002
Pakistan,69.41399806,29.97346003
Afghanistan,66.08669022,33.85639928
Tajikistan,71.03443505,38.58308146
Kyrgyzstan,74.62040481,41.50689371
Turkmenistan,59.27543026,39.09124018
Iran,54.2854515,32.51891732
Syria,38.54423942,35.01261428
Armenia,45.00029001,40.21660761
Sweden,16.59626585,62.81148497
Belarus,27.98135262,53.50634479
Ukraine,31.22912207,49.14882261
Poland,19.31101431,52.14826022
Austria,14.07615888,47.61394879
Hungary,19.35762863,47.19995117
Moldova,28.41048279,47.20367643
Romania,24.94325249,45.85710104
Lithuania,23.88064028,55.28431948
Latvia,24.83329615,56.80717513
Estonia,25.82472561,58.64369543
Germany,10.28848509,51.13372269
Bulgaria,25.19511095,42.75311876
Greece,22.71981345,39.0667159
Turkey,35.11690015,39.06837194
Albania,20.03242643,41.14135331
Croatia,16.56618977,45.016234
Switzerland,8.118300613,46.79173768
Luxembourg,5.965223432,49.76570507
Belgium,4.580834114,50.65244096
Netherlands,5.512217101,52.29870037
Portugal,-8.055765588,39.63404977
Spain,-3.617020602,40.34865611
Ireland,-8.010236545,53.18059121
New Zealand,172.7019259,-41.66257876
Australia,134.5027755,-25.73065478
Sri Lanka,80.66723575,7.700534417
China,103.8836123,36.55506653
Taiwan,120.9748007,23.74096498
Italy,12.14078837,42.75118305
Denmark,9.876372938,56.06393446
Iceland,-18.76102877,65.07427634
Azerbaijan,47.55390956,40.22069055
Georgia,43.48154265,42.16201501
Philippines,122.9026724,11.76379936
Malaysia,109.6981484,3.725588426
Brunei,114.9151088,4.690250543
Slovenia,14.93815232,46.12542206
Finland,26.21176461,64.50409404
Slovakia,19.50765715,48.72671135
Eritrea,38.67818693,15.42727675
Japan,138.0649621,37.66311081
Paraguay,-58.38738783,-23.24804195
Yemen,47.53504476,15.91323195
Saudi Arabia,44.51636377,24.12328984
Cyprus,33.0395538,34.90706085
Morocco,-8.420479545,29.8853947
Egypt,29.84446151,26.50662
Libya,17.97435278,26.99746041
Ethiopia,39.55125579,8.653999188
Djibouti,42.49801974,11.7730444
Uganda,32.35755032,1.295485504
Rwanda,29.91896392,-2.013514466
Macedonia,21.69790338,41.60592965
Serbia,20.81965193,44.23303653
Montenegro,19.28618172,42.78903961
Kosovo,20.89535572,42.57936713
United States of America,-112.5994359,45.705628
