Entity,Code,Year,Population
Afghanistan,AFG,2016,35383000
Africa,,2016,1213041024
Albania,ALB,2016,2886000
Algeria,DZA,2016,40551000
American Samoa,ASM,2016,56000
Andorra,AND,2016,77000
Angola,AGO,2016,28842000
Anguilla,AIA,2016,14000
Antigua and Barbuda,ATG,2016,95000
Argentina,ARG,2016,43508000
Armenia,ARM,2016,2936000
Aruba,ABW,2016,105000
Asia,,2016,4476608000
Australia,AUS,2016,24263000
Austria,AUT,2016,8747000
Azerbaijan,AZE,2016,9736000
Bahamas,BHS,2016,378000
Bahrain,BHR,2016,1426000
Bangladesh,BGD,2016,157976992
Barbados,BRB,2016,286000
Belarus,BLR,2016,9446000
Belgium,BEL,2016,11354000
Belize,BLZ,2016,368000
Benin,BEN,2016,10872000
Bermuda,BMU,2016,63000
Bhutan,BTN,2016,737000
Bolivia,BOL,2016,11032000
Bonaire Sint Eustatius and Saba,BES,2016,25000
Bosnia and Herzegovina,BIH,2016,3386000
Botswana,BWA,2016,2160000
Brazil,BRA,2016,206163008
British Virgin Islands,VGB,2016,29000
Brunei,BRN,2016,420000
Bulgaria,BGR,2016,7152000
Burkina Faso,BFA,2016,18646000
Burundi,BDI,2016,10488000
Cambodia,KHM,2016,15766000
Cameroon,CMR,2016,23927000
Canada,CAN,2016,36383000
Cape Verde,CPV,2016,531000
Cayman Islands,CYM,2016,63000
Central African Republic,CAF,2016,4538000
Chad,TCD,2016,14562000
Channel Islands,OWID_CIS,2016,167000
Chile,CHL,2016,18209000
China,CHN,2016,1414049024
Colombia,COL,2016,48175000
Comoros,COM,2016,796000
Congo,COG,2016,4981000
Cook Islands,COK,2016,18000
Costa Rica,CRI,2016,4899000
Cote d'Ivoire,CIV,2016,23823000
Croatia,HRV,2016,4209000
Cuba,CUB,2016,11335000
Curacao,CUW,2016,161000
Cyprus,CYP,2016,1170000
Czech Republic,CZE,2016,10619000
Democratic Republic of Congo,COD,2016,78789000
Denmark,DNK,2016,5711000
Djibouti,DJI,2016,929000
Dominica,DMA,2016,71000
Dominican Republic,DOM,2016,10398000
Ecuador,ECU,2016,16491000
Egypt,EGY,2016,94447000
El Salvador,SLV,2016,6356000
Equatorial Guinea,GNQ,2016,1215000
Eritrea,ERI,2016,3377000
Estonia,EST,2016,1317000
Ethiopia,ETH,2016,103603000
Europe,,2016,744268992
Faeroe Islands,FRO,2016,48000
Falkland Islands,FLK,2016,3000
Fiji,FJI,2016,872000
Finland,FIN,2016,5498000
France,FRA,2016,64668000
French Guiana,GUF,2016,268000
French Polynesia,PYF,2016,275000
Gabon,GAB,2016,2008000
Gambia,GMB,2016,2149000
Georgia,GEO,2016,4015000
Germany,DEU,2016,82194000
Ghana,GHA,2016,28482000
Gibraltar,GIB,2016,34000
Greece,GRC,2016,10615000
Greenland,GRL,2016,56000
Grenada,GRD,2016,110000
Guadeloupe,GLP,2016,400000
Guam,GUM,2016,163000
Guatemala,GTM,2016,16583000
Guinea,GIN,2016,11738000
Guinea-Bissau,GNB,2016,1782000
Guyana,GUY,2016,771000
Haiti,HTI,2016,10840000
Honduras,HND,2016,9271000
Hong Kong,HKG,2016,7244000
Hungary,HUN,2016,9753000
Iceland,ISL,2016,332000
India,IND,2016,1324516992
Indonesia,IDN,2016,261556000
Iran,IRN,2016,79564000
Iraq,IRQ,2016,36611000
Ireland,IRL,2016,4696000
Isle of Man,IMN,2016,83000
Israel,ISR,2016,8109000
Italy,ITA,2016,60663000
Jamaica,JAM,2016,2906000
Japan,JPN,2016,127763000
Jordan,JOR,2016,9554000
Kazakhstan,KAZ,2016,17831000
Kenya,KEN,2016,49052000
Kiribati,KIR,2016,113000
Kuwait,KWT,2016,3957000
Kyrgyzstan,KGZ,2016,6074000
Laos,LAO,2016,6846000
Latin America,,2016,630145024
Latvia,LVA,2016,1974000
Lebanon,LBN,2016,6714000
Lesotho,LSO,2016,2075000
Liberia,LBR,2016,4587000
Libya,LBY,2016,6492000
Liechtenstein,LIE,2016,38000
Lithuania,LTU,2016,2890000
Luxembourg,LUX,2016,579000
Macao,MAC,2016,613000
Macedonia,MKD,2016,2081000
Madagascar,MDG,2016,24894000
Malawi,MWI,2016,17205000
Malaysia,MYS,2016,30685000
Maldives,MDV,2016,476000
Mali,MLI,2016,17965000
Malta,MLT,2016,436000
Marshall Islands,MHL,2016,58000
Martinique,MTQ,2016,377000
Mauritania,MRT,2016,4164000
Mauritius,MUS,2016,1262000
Mayotte,MYT,2016,246000
Mexico,MEX,2016,123333000
Micronesia (country),FSM,2016,110000
Moldova,MDA,2016,4066000
Monaco,MCO,2016,38000
Mongolia,MNG,2016,3056000
Montenegro,MNE,2016,627000
Montserrat,MSR,2016,5000
Morocco,MAR,2016,35126000
Mozambique,MOZ,2016,27830000
Myanmar,MMR,2016,53045000
Namibia,NAM,2016,2358000
Nauru,NRU,2016,10000
Nepal,NPL,2016,27263000
Netherlands,NLD,2016,16981000
New Caledonia,NCL,2016,274000
New Zealand,NZL,2016,4659000
Nicaragua,NIC,2016,6304000
Niger,NER,2016,20789000
Nigeria,NGA,2016,185960000
Niue,NIU,2016,2000
North America,,2016,359524992
North Korea,PRK,2016,25308000
Northern Mariana Islands,MNP,2016,56000
Norway,NOR,2016,5251000
Oceania,,2016,40436000
Oman,OMN,2016,4479000
Pakistan,PAK,2016,203631008
Palau,PLW,2016,18000
Palestine,PSE,2016,4636000
Panama,PAN,2016,4037000
Papua New Guinea,PNG,2016,8272000
Paraguay,PRY,2016,6778000
Peru,PER,2016,30926000
Philippines,PHL,2016,103664000
Poland,POL,2016,37989000
Portugal,PRT,2016,10326000
Puerto Rico,PRI,2016,3283000
Qatar,QAT,2016,2654000
Reunion,REU,2016,870000
Romania,ROU,2016,19796000
Russia,RUS,2016,145275008
Rwanda,RWA,2016,11669000
Saint Barthlemy,,2016,10000
Saint Helena,SHN,2016,6000
Saint Kitts and Nevis,KNA,2016,52000
Saint Lucia,LCA,2016,180000
Saint Martin (French part),MAF,2016,36000
Saint Pierre and Miquelon,SPM,2016,6000
Saint Vincent and the Grenadines,VCT,2016,109000
Samoa,WSM,2016,195000
San Marino,SMR,2016,34000
Sao Tome and Principe,STP,2016,203000
Saudi Arabia,SAU,2016,32443000
Senegal,SEN,2016,14994000
Serbia,SRB,2016,8854000
Seychelles,SYC,2016,96000
Sierra Leone,SLE,2016,7329000
Singapore,SGP,2016,5654000
Sint Maarten (Dutch part),SXM,2016,41000
Slovakia,SVK,2016,5442000
Slovenia,SVN,2016,2074000
Solomon Islands,SLB,2016,619000
Somalia,SOM,2016,14186000
South Africa,ZAF,2016,56208000
South Korea,KOR,2016,50983000
South Sudan,SSD,2016,10833000
Spain,ESP,2016,46634000
Sri Lanka,LKA,2016,21021000
Sudan,SDN,2016,39847000
Suriname,SUR,2016,565000
Swaziland,SWZ,2016,1114000
Sweden,SWE,2016,9836000
Switzerland,CHE,2016,8380000
Syria,SYR,2016,17466000
Taiwan,TWN,2016,23618000
Tajikistan,TJK,2016,8664000
Tanzania,TZA,2016,53049000
Thailand,THA,2016,68971000
Timor,TLS,2016,1219000
Togo,TGO,2016,7510000
Tokelau,TKL,2016,1000
Tonga,TON,2016,101000
Trinidad and Tobago,TTO,2016,1378000
Tunisia,TUN,2016,11304000
Turkey,TUR,2016,79828000
Turkmenistan,TKM,2016,5662000
Turks and Caicos Islands,TCA,2016,37000
Tuvalu,TUV,2016,11000
Uganda,UGA,2016,39649000
Ukraine,UKR,2016,44714000
United Arab Emirates,ARE,2016,9361000
United Kingdom,GBR,2016,66298000
United States,USA,2016,323016000
United States Virgin Islands,VIR,2016,105000
Uruguay,URY,2016,3424000
Uzbekistan,UZB,2016,31442000
Vanuatu,VUT,2016,278000
Vatican,VAT,2016,1000
Venezuela,VEN,2016,29851000
Vietnam,VNM,2016,93640000
Wallis and Futuna,WLF,2016,12000
Western Sahara,ESH,2016,539000
World,OWID_WRL,2016,7464022016
Yemen,YEM,2016,27168000
Zambia,ZMB,2016,16363000
Zimbabwe,ZWE,2016,14030000
